name,program_number,model_type,lat,lon,address,phone,contract_type,summer_session
FRIENDS OF CROWN HEIGHTS 9,330802,GC,40.672607,-73.9516035,"813 STERLING PLACE BROOKLYN, NY 11216",(718) 773-7733,FF,open during summer only
PARKSIDE ECDC,331601,GC,40.656094,-73.9561261,"525 PARKSIDE AVENUE BROOKLYN, NY 11226",(929) 210-9200,FF,open during summer only
PAL CAREY GARDENS DCC,332903,GD,40.5742614,-73.9902335,"2964 WEST 23RD STREET BROOKLYN, NY 11224",(718) 372-4044,FF,
HAWTHORNE CORNERS DCC,334101,GD,40.657198,-73.9568668,"1950 BEDFORD AVENUE BROOKLYN, NY 11225",(347) 539-9421,FF,
UNITED COMMUNITY DCC,335501,GC,40.6649239,-73.8866767,"613 NEW LOTS AVENUE BROOKLYN, NY 11207",(718) 385-1201,FF,open during summer only
SUNSET PARK HEALTH CNCIL ,338301,GC,40.6671568,-73.9903986,"199 14 TH STREET 2ND FL BROOKLYN, NY 11215",(718) 788-2668,FF,open during summer only
ALL MY CHILDREN DAYCARE 10,338901,GC,40.6622569,-73.947273,"420 LEFFERTS AVENUE BROOKLYN, NY 11225",(718) 576-6170,FF,open during summer only
BETH JACOB DAY CARE CENTER,340701,GC,40.6357795,-73.988839,"1363 46TH STREET BROOKLYN, NY 11219",(718) 633-1251,FF,open during summer only
LSSNY - EARLY LIFE CTR 9,341801,GC,40.691744,-73.9201238,"1175 GATES AVENUE BROOKLYN, NY 11221",(212) 870-1144,FF,open during summer only
URBAN STRATEGIES DCC 5,341904,GC,40.6727761,-73.866156,"675 LINCOLN AVENUE BROOKLYN, NY 11208",(718) 235-1215,FF,open during summer only
FRIENDS OF CROWN HEIGHTS 6,341906,GD,40.5918943,-73.9822451,"49 AVENUE W BROOKLYN, NY 11223",(718) 372-8207,FF,open during summer only
SHIRLEY CHISHOLM DCC # 4,341908,GC,40.6789082,-73.9119425,"33 SOMERS STREET BROOKLYN, NY 11233",(718) 498-6200,FF,
CHILDREN'S CORNER DCC,341909,GD,40.664671,-73.8962631,"565 LIVONIA AVE BROOKLYN, NY 11207",(212) 453-4595,FF,open during summer only
FRIENDS OF CROWN HEIGHTS 5,341910,GD,40.6765629,-73.8715143,"374 PINE STREET BROOKLYN, NY 11208",(347) 435-0990,FF,open during summer only
NEW LIFE CHILD DEV CTR 1,343101,GD,40.6963948,-73.9132062,"295 WOODBINE ST BROOKLYN, NY 11237",(718) 821-3432,FF,
NEW LIFE CHILD DEV CTR 3,343102,GD,40.7012018,-73.9125457,"408 GROVE STREET BROOKLYN, NY 11237",(718) 417-4206,FF,open during summer only
FRIENDS OF CROWN HEIGHTS 16,343301,GC,40.6694093,-73.8750319,"668 LOGAN STREET BROOKLYN, NY 11208",(929) 234-2870,FF,open during summer only
BROOKLYN DEVELOPMENTAL CTR,343601,GC,40.6560891,-73.8654846,"888 FOUNTAIN AVENUE BROOKLYN, NY 11239",(718) 232-8800,FF,
SHIRLEY CHISHOLM DCC #1,344001,GC,40.6763081,-73.9210131,"2023 PACIFIC STREET BROOKLYN, NY 11233",(718) 756-1721,FF,
SCO SERVICES - SARATOGA II,344003,GD,40.6846019,-73.9172381,"69-71 SARATOGA AVENUE BROOKLYN, NY 11233",(718) 443-4100,FF,open during summer only
GAN DAY CARE CENTER INC,344201,GC,40.6362499,-73.9841299,"4206-10 15TH AVENUE BROOKLYN, NY 11219",(718) 435-2812,FF,open during summer only
SHIRLEY CHISHOLM 5 - ADVENT ,344401,GC,40.680893,-73.914687,"265 SUMPTER STREET BROOKLYN, NY 11233",(718) 452-1200,FF,open during summer only
ALL MY CHILDREN DAYCARE 11,345702,GC,40.6656628,-73.9534229,"317 ROGERS AVENUE BROOKLYN, NY 11225",(929) 234-2320,FF,open during summer only
FRIENDS OF CROWN HEIGHTS 2,345703,GC,40.6746169,-73.9542622,"671-675 PROSPECT PLACE BROOKLYN, NY 11216",(718) 638-8686,FF,open during summer only
HELEN OWEN CAREY CDC,348401,GC,40.677119,-73.977547,"71 LINCOLN PLACE BROOKLYN, NY 11217",(718) 638-4100,FF,open during summer only
NUESTROS NINOS 1,349201,GC,40.7079151,-73.9525243,"384 SOUTH 4TH STREET BROOKLYN, NY 11211",(718) 218-8275,FF,open during summer only
FRIENDS OF CROWN HEIGHTS 11,349601,GC,40.6678987,-73.9571316,"995 CARROLL STREET BROOKLYN, NY 11225",,FF,open during summer only
SALVATION ARMY BROWNSVILLE,350101,GC,40.6609938,-73.9061614,"280 RIVERDALE AVENUE BROOKLYN, NY 11212",(212) 352-5575,FF,open during summer only
FRIENDS OF CROWN HEIGHTS 26,350103,GC,40.6651664,-73.9220507,"20 SUTTER AVENUE BROOKLYN, NY 11212",(718) 467-4270,FF,open during summer only
SALVATION ARMY BUSHWICK,350104,GC,40.6892997,-73.9170581,"1151 BUSHWICK AVENUE BROOKLYN, NY 11221",(212) 352-5575,FF,open during summer only
URBAN STRATEGIES DCC 1,352701,GD,40.6721739,-73.8781345,"1091 SUTTER AVE BROOKLYN, NY 11208",(718) 235-6151,FF,open during summer only
PAL ARNOLD & MARIE SCHWARTZ,352702,GD,40.6660799,-73.8947973,"452 PENNSYLVANIA AVE BROOKLYN, NY 11207",(718) 342-4724,FF,open during summer only
LIFE - JOHN WILLIAMS,352901,GD,40.7081305,-73.9606142,"321 ROEBLING STREET BROOKLYN, NY 11211",(718) 625-3810,FF,open during summer only
MARIE DURDIN CCC,352904,GC,40.668292,-73.864436,"2700 LINDEN BOULEVARD BROOKLYN, NY 11208",(718) 625-3810,FF,open during summer only
GRAHAM CCC,352905,GC,40.7098685,-73.9431992,"222 GRAHAM AVENUE BROOKLYN, NY 11206",(718) 625-3810,FF,open during summer only
BUSHWICK UNITED HDFC 6,353301,GD,40.6983178,-73.9259421,"200 CENTRAL AVENUE BROOKLYN, NY 11221",(718) 599-1877,FF,open during summer only
ALL MY CHILDREN DAYCARE 14,353401,GC,40.6655016,-73.9319931,"771 CROWN ST BROOKLYN, NY 11213",(718) 756-8300,FF,open during summer only
CONEY ISLAND HS #1,354401,GH,40.5736284,-73.9928452,"2960 WEST 27TH STREET BROOKLYN, NY 11224",(718) 372-6200,FF,open during summer only
ZION DAY CARE CENTER,364601,GD,40.6330942,-73.9909344,"5000 14TH AVENUE BROOKLYN, NY 11219",(718) 438-2862,FF,open during summer only
SALVATION ARMY BEDFORD,350108,GC,40.6905242,-73.95067,"110 KOSCIUSKO STREET BROOKLYN, NY 11216",(212) 352-5575,FF,open during summer only
CITIZENS CARE DAY CARE CTR #1,702301,GC,40.8040872,-73.9531562,"131 SAINT NICHOLAS AVE NEW YORK, NY 10026",(212) 666-1683,FF,open during summer only
ADDIE MAE COLLINS 3,702302,GD,40.804887,-73.9354931,"2322 THIRD AVENUE NEW YORK, NY 10035",(212) 831-9220,FF,
CITIZENS CARE DAY CARE # 3,702303,GC,40.8169368,-73.956529,"3240 BROADWAY NEW YORK, NY 10027",(212) 690-0742,FF,
EAST CALVARY DAY CARE CENTER,703301,GC,40.7984709,-73.9485192,"1 WEST 112TH ST NEW YORK, NY 10026",(212) 534-5249,FF,
EAST HARLEM BLOCK NURSERY 1,703401,GC,40.7915377,-73.9439798,"215 EAST 106TH STREET NEW YORK, NY 10029",(917) 885-0890,FF,open during summer only
GODDARD RIVERSIDE # 1,704501,GD,40.789858,-73.9710964,"114 WEST 91 STREET NEW YORK, NY 10024",(212) 873-6865,FF,open during summer only
GRAND STREET SETTLEMENT CCC,704601,GC,40.716844,-73.9786841,"300 DELANCEY STREET NEW YORK, NY 10002",(212) 228-8241,FF,open during summer only
YWCA - POLLY DODGE ELC,704704,GC,40.7685186,-73.9916339,"538 WEST 55 STREET NEW YORK, NY 10019",(646) 891-6240,FF,open during summer only
HAMILTON MADISON HSE CCC,704901,null,40.7098267,-73.9975128,"10 CATHERINE SLIP NEW YORK, NY 10002",(212) 962-3408,PP,
HENRY ST SETTLEMENT,705001,GD,40.7142444,-73.9826273,"301 HENRY STREET NEW YORK, NY 10002",(212) 254-3100,FF,open during summer only
EAST HARLEM BLOCK NURSERY 2,705101,GC,40.8106202,-73.9374379,"2112 MADISON AVENUE NEW YORK, NY 10037",(212) 722-6350,FF,open during summer only
HUDSON GUILD CHILDREN'S CTR,705201,GC,40.7496281,-74.0022625,"459 WEST 26TH STREET NEW YORK, NY 10001",(212) 367-2370,FF,open during summer only
FRIENDS OF CROWN HEIGHTS 28,705401,GC,40.8600838,-73.9224443,"3732 TENTH AVENUE NEW YORK, NY 10034",,FF,
GRANT DAY CARE CENTER,706501,GC,40.8117233,-73.9562125,"1299 AMSTERDAM AVENUE NEW YORK, NY 10027",(212) 666-6000,FF,open during summer only
LEXINGTON CHILDRENS CTR,706901,GC,40.7880607,-73.9508974,"115 EAST 98TH STREET NEW YORK, NY 10029",(212) 410-1060,FF,open during summer only
OPEN DOOR CHILD CARE CTR,707601,GC,40.7960721,-73.9659131,"820 COLUMBUS AVENUE NEW YORK, NY 10025",(212) 749-5572,FF,open during summer only
PRINCE HALL COLON PK DCC,708101,GC,40.8330933,-73.9358611,"159-30 HARLEM RIV DRIVE NEW YORK, NY 10039",(917) 500-5672,FF,open during summer only
VIRGINIA DAY NURSERY,708704,GD,40.7241272,-73.9746501,"464 EAST TENTH ST NEW YORK, NY 10009",(212) 228-5220,FF,open during summer only
MORNINGSIDE DAY CARE CTR,708707,GD,40.8308372,-73.9361227,"2967 FREDRICK DOUGLASS NEW YORK, NY 10039",(917) 410-3874,FF,open during summer only
EPISCOPAL HS - FIFTH AVENUE,708730,GD,40.814799,-73.9352434,"2289 FIFTH AVENUE NEW YORK, NY 10037",(212) 283-3100,FF,open during summer only
UNION CARVER CHILDRENS ,709701,GD,40.792096,-73.949243,"1565 MADISON AVENUE NEW YORK, NY 10029",,FF,open during summer only
UNION WASHINGTON CHILD CENTER,709704,GD,40.7856675,-73.9468805,"1893 SECOND AVENUE NEW YORK, NY 10029",(212) 828-6084,FF,open during summer only
UTOPIA CHILDREN'S CENTER,710001,GC,40.8118419,-73.94822,"236 WEST 129TH STREET NEW YORK, NY 10027",(212) 663-7375,FF,open during summer only
GODDARD RIVERSIDE EARLY CC,711901,GC,40.7744862,-73.9868309,"243 WEST 64TH STREET NEW YORK, NY 10023",(212) 712-9306,FF,open during summer only
UNION SETTLMT PEQUENOS SOULS,715801,GD,40.8025735,-73.9397035,"114-34 EAST 122ND STREET NEW YORK, NY 10035",(646) 672-5042,FF,open during summer only
BELLEVUE-EDUCARE CHILD CARE CT,719601,GC,40.739217,-73.9754976,"462 FIRST AVENUE NEW YORK, NY 10016",(212) 679-2393,FF,
MOTHER HALE LEARNING CENTER,721301,GD,40.8194194,-73.9370748,"669 LENOX AVENUE NEW YORK, NY 10037",(212) 491-8501,FF,open during summer only
ED ALLIANCE - LILLIAN WALD,721601,GC,40.7210517,-73.9773252,"34 AVENUE D NEW YORK, NY 10009",(646) 395-4204,FF,
DAWNING  VILLAGE,726001,GC,40.7905696,-73.9380025,"2090 1ST AVE NEW YORK, NY 10029",(212) 369-5313,FF,open during summer only
GODDARD RIVERSIDE #2,728501,GC,40.7848892,-73.9749041,"128 W 83RD STREET NEW YORK, NY 10024",(212) 877-7780,FF,open during summer only
LSSNY - EARLY LIFE CTR 14,730401,GD,40.8254275,-73.9487181,"510 WEST 145TH STREET NEW YORK, NY 10031",(646) 449-0814,FF,open during summer only
C P C JACOB RIIS CCC,730903,GC,40.7232789,-73.9756325,"108 AVENUE D NEW YORK, NY 10009",(212) 941-0920,FF,open during summer only
CHUNG PAK PRE-SCHOOL,730905,GC,40.7173202,-73.9999446,"125 WALKER STREET NEW YORK, NY 10013",(212) 941-0920,FF,open during summer only
LITTLE STAR OF BROOME ,730910,GC,40.7163928,-73.9848461,"151 BROOME STREET NEW YORK, NY 10002",(646) 678-3487,FF,open during summer only
WASHINGTON HEIGHTS CCC,735901,GC,40.845484,-73.937398,"610-614 WEST 175TH ST NEW YORK, NY 10033",(212) 781-6910,FF,open during summer only
RENA DAY CARE CENTER,737301,GC,40.837815,-73.9368322,"639 EDGECOMBE AVENUE NEW YORK, NY 10032",(___) ___-____,FF,open during summer only
LSSNY - EARLY LIFE CTR 13,740901,GD,40.8233998,-73.9394985,"218 WEST 147 STREET NEW YORK, NY 10039",(646) 360-4093,FF,open during summer only
NICHOLAS CARDELL DAY CARE,743401,GC,40.8660417,-73.9232711,"84 VERMILYEA AVENUE NEW YORK, NY 10034",(212) 942-6757,FF,open during summer only
LSSNY - EARLY LIFE CTR 12,745401,GD,40.8093057,-73.9356694,"1951 PARK AVENUE NEW YORK, NY 10037",(212) 933-1815,FF,open during summer only
UFBCO CDC,750301,GD,40.8333439,-73.9398884,"474 WEST 159TH STREET NEW YORK, NY 10032",(212) 281-1950,FF,open during summer only
HOLMES TOWERS EISMAN NURS,750501,GC,40.7811103,-73.9459737,"1794 FIRST AVENUE NEW YORK, NY 10128",(212) 876-9200,FF,open during summer only
GRAND STREET SETT ESSEX,752401,GD,40.7169511,-73.9886829,"60 ESSEX STREET NEW YORK, NY 10002",(212) 677-6990,FF,open during summer only
TAFT EARLY CHILDHOOD CTR,759403,GD,40.7985369,-73.9462802,"1724-26 MADISON AVENUE NEW YORK, NY 10029",(212) 831-0556,FF,open during summer only
DREW HAMILTON ,759404,GD,40.8210762,-73.9426437,"2672 EIGHTH AVENUE NEW YORK, NY 10030",(212) 281-9555,FF,open during summer only
